thisN,thisTrialN,thisRepN,T1w_LIBRE.thisRepN,T1w_LIBRE.thisTrialN,T1w_LIBRE.thisN,T1w_LIBRE.thisIndex,thisRow.t,notes,trail.started,waiting_trigger.started,key_resp.started,fix_desc.started,trail.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_ET.started,etRecord.started,start_ET.stopped,dots.started,dot_1.started,dot_2.started,dot_1.stopped,dot_2.stopped,dot_3.started,dot_3.stopped,dot_4.started,dot_4.stopped,dot_5.started,dot_5.stopped,dot_6.started,dot_6.stopped,dot_7.started,dot_7.stopped,dot_8.started,dot_8.stopped,dot_9.started,dot_9.stopped,dot_10.started,dot_10.stopped,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
,,,,,,,,,371.5402322001755,371.5576590001583,371.5576590001583,371.5576590001583,579.3726014001295,s,207.80020519997925,None,,,,,,,,,,,,,,,,,,,,,,,,,,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
,,,,,,,,,,,,,,,,,579.3734368002042,579.9003869993612,579.8772791000083,,,,,,,,,,,,,,,,,,,,,,,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
0,0,0,0,0,0,0,579.9003869993612,,,,,,,,,,,,,579.8797639999539,579.9003869993612,580.885026499629,580.9013903997838,581.8853120999411,581.8853120999411,582.885722800158,582.885722800158,583.8863253993914,583.8863253993914,584.8851275993511,584.8851275993511,585.8849446000531,585.8849446000531,586.8853724999353,586.8853724999353,587.884866499342,587.884866499342,588.8855256000534,588.8855256000534,589.8850117996335,589.8685799995437,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
1,0,1,1,0,1,0,589.8850117996335,,,,,,,,,,,,,589.868998799473,589.8850117996335,590.8858583997935,590.8858583997935,591.8850053995848,591.8850053995848,592.885308499448,592.885308499448,593.8852760000154,593.8852760000154,594.8845625994727,594.8845625994727,595.8851637998596,595.8851637998596,596.8847682997584,596.8847682997584,597.8848179001361,597.8848179001361,598.8846653997898,598.8846653997898,599.8847648994997,599.8681734995916,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
2,0,2,2,0,2,0,599.8847648994997,,,,,,,,,,,,,599.8685526996851,599.8847648994997,600.8846996994689,600.8846996994689,601.8846945995465,601.8846945995465,602.8847416993231,602.8847416993231,603.8851979998872,603.8851979998872,604.8846730999649,604.8846730999649,605.8847880000249,605.8847880000249,606.8847244996578,606.8847244996578,607.8847274994478,607.8847274994478,608.8846050994471,608.8846050994471,609.8848070995882,609.8693134002388,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
3,0,3,3,0,3,0,609.8848070995882,,,,,,,,,,,,,609.869780799374,609.8848070995882,610.8843212993816,610.8843212993816,611.8848641999066,611.8848641999066,612.8843550998718,612.8843550998718,613.8844253001735,613.8844253001735,614.8844873001799,614.8844873001799,615.8845416000113,615.8845416000113,616.884349799715,616.884349799715,617.8843419002369,617.8843419002369,618.8845867002383,618.8845867002383,619.8841480994597,619.8680031998083,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
4,0,4,4,0,4,0,619.8841480994597,,,,,,,,,,,,,619.8683316996321,619.8841480994597,620.8847928997129,620.8847928997129,621.8841546000913,621.8841546000913,622.8842334002256,622.8842334002256,623.885078500025,623.885078500025,624.8844163995236,624.8844163995236,625.8843384999782,625.8843384999782,626.8841277994215,626.8841277994215,627.8840084001422,627.8840084001422,628.8843542002141,628.8843542002141,629.8839047001675,629.8683147998527,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
5,0,5,5,0,5,0,629.8839047001675,,,,,,,,,,,,,629.8686819002032,629.8839047001675,630.8841792996973,630.8841792996973,631.8840474002063,631.8840474002063,632.8846589000896,632.8846589000896,633.8841071994975,633.8841071994975,634.8837880995125,634.8837880995125,635.8835846995935,635.8835846995935,636.8840731000528,636.8840731000528,637.8840242996812,637.8840242996812,638.8838866995648,638.8838866995648,639.8840993000194,639.8673522993922,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
6,0,6,6,0,6,0,639.8840993000194,,,,,,,,,,,,,639.8676746999845,639.8840993000194,640.8841825993732,640.8841825993732,641.8841086002067,641.8841086002067,642.8834574995562,642.8834574995562,643.8834772994742,643.8834772994742,644.8842265997082,644.8842265997082,645.8841520994902,645.8841520994902,646.883890199475,646.883890199475,647.8835960999131,647.8835960999131,648.8835431998596,648.8835431998596,649.8836873993278,649.8671736000106,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
7,0,7,7,0,7,0,649.8836873993278,,,,,,,,,,,,,649.867562700063,649.8836873993278,650.8839258002117,650.8839258002117,651.8835178995505,651.8835178995505,652.8836512994021,652.8836512994021,653.8834464997053,653.8834464997053,654.8842079993337,654.8842079993337,655.8833217993379,655.8833217993379,656.8832775000483,656.8832775000483,657.8835616996512,657.8835616996512,658.8834584997967,658.8834584997967,659.8832697998732,659.8671014998108,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
8,0,8,8,0,8,0,659.8832697998732,,,,,,,,,,,,,659.867412599735,659.8832697998732,660.8859289996326,660.8859289996326,661.8834068998694,661.8834068998694,662.8834314001724,662.8834314001724,663.8831530995667,663.8831530995667,664.883187899366,664.883187899366,665.8829991994426,665.8829991994426,666.8832070995122,666.8832070995122,667.8829843997955,667.8829843997955,668.8830281998962,668.8830281998962,669.8830589996651,669.8665169999003,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
9,0,9,9,0,9,0,669.8830589996651,,,,,,,,,,,,,669.8669034997001,669.8830589996651,670.8830829998478,670.8830829998478,671.8833248997107,671.8833248997107,672.8836137000471,672.8836137000471,673.882870499976,673.882870499976,674.8843224998564,674.8843224998564,675.8837500000373,675.8837500000373,676.88274289947,676.88274289947,677.8834302993491,677.8834302993491,678.8829306997359,678.8829306997359,679.8834253996611,679.8668272001669,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
10,0,10,10,0,10,0,679.8834253996611,,,,,,,,,,,,,679.8678497998044,679.8834253996611,680.8828608999029,680.8828608999029,681.882875399664,681.882875399664,682.8831238001585,682.8831238001585,683.8831553999335,683.8831553999335,684.8825421994552,684.8825421994552,685.882514799945,685.882514799945,686.8830023994669,686.8830023994669,687.8829036001116,687.8829036001116,688.8828056994826,688.8828056994826,689.882608499378,689.8665573000908,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
11,0,11,11,0,11,0,689.882608499378,,,,,,,,,,,,,689.8669659001753,689.882608499378,690.8827213002369,690.8827213002369,691.8829581001773,691.8829581001773,692.8827463993803,692.8827463993803,693.8829119000584,693.8829119000584,694.8826174000278,694.8826174000278,695.8827539002523,695.8827539002523,696.8824010994285,696.8824010994285,697.8825044995174,697.8825044995174,698.8824782995507,698.8824782995507,699.8823517002165,699.8663614001125,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
12,0,12,12,0,12,0,699.8823517002165,,,,,,,,,,,,,699.8666891995817,699.8823517002165,700.882811400108,700.882811400108,701.882845999673,701.882845999673,702.8824509000406,702.8824509000406,703.8826778000221,703.8826778000221,704.8822582000867,704.8822582000867,705.8824621997774,705.8824621997774,706.8822975000367,706.8822975000367,707.8829736998305,707.8829736998305,708.8824720997363,708.8824720997363,709.8821286000311,709.8653969001025,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
13,0,13,13,0,13,0,709.8821286000311,,,,,,,,,,,,,709.865801599808,709.8821286000311,710.8820583000779,710.8820583000779,711.8821938997135,711.8821938997135,712.8824012000114,712.8824012000114,713.8824897995219,713.8824897995219,714.8823579996824,714.8823579996824,715.8820353997871,715.8820353997871,716.8820385998115,716.8820385998115,717.8821150995791,717.8821150995791,718.8820032002404,718.8820032002404,719.881945299916,719.865759300068,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
14,0,14,14,0,14,0,719.881945299916,,,,,,,,,,,,,719.8660787995905,719.881945299916,720.8824322996661,720.8824322996661,721.8821605993435,721.8821605993435,722.8818052001297,722.8818052001297,723.8822822999209,723.8822822999209,724.8819193998352,724.8819193998352,725.8816494997591,725.8816494997591,726.8821962997317,726.8821962997317,727.8826195001602,727.8826195001602,728.8818172002211,728.8818172002211,729.8817354999483,729.8655950995162,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
15,0,15,15,0,15,0,729.8817354999483,,,,,,,,,,,,,729.8659159000963,729.8817354999483,730.8822040995583,730.8822040995583,731.8816598998383,731.8816598998383,732.881868599914,732.881868599914,733.8818819997832,733.8818819997832,734.8816887000576,734.8816887000576,735.8815361997113,735.8815361997113,736.8816021997482,736.8816021997482,737.8814594000578,737.8814594000578,738.8815431995317,738.8815431995317,739.8817627001554,739.8662271993235,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
16,0,16,16,0,16,0,739.8817627001554,,,,,,,,,,,,,739.8665709001943,739.8817627001554,740.8818940995261,740.8818940995261,741.88265829999,741.88265829999,742.8819848997518,742.8819848997518,743.881753699854,743.881753699854,744.8812424996868,744.8812424996868,745.882579899393,745.882579899393,746.8819484999403,746.8819484999403,747.8815732002258,747.8815732002258,748.8814276997,748.8814276997,749.8812740994617,749.8651593998075,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
17,0,17,17,0,17,0,749.8812740994617,,,,,,,,,,,,,749.865493199788,749.8812740994617,750.8814273001626,750.8814273001626,751.8814252000302,751.8814252000302,752.8811504999176,752.8811504999176,753.8810045002028,753.8810045002028,754.8812239998952,754.8812239998952,755.881081099622,755.881081099622,756.881574999541,756.881574999541,757.8810903998092,757.8810903998092,758.8812001999468,758.8812001999468,759.8810193995014,759.8649046998471,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
18,0,18,18,0,18,0,759.8810193995014,,,,,,,,,,,,,759.865242799744,759.8810193995014,760.8810446001589,760.8810446001589,761.8810540996492,761.8810540996492,762.8814942995086,762.8814942995086,763.8809024002403,763.8809024002403,764.8809332996607,764.8809332996607,765.8809520993382,765.8809520993382,766.8808869002387,766.8808869002387,767.8809401001781,767.8809401001781,768.8812710000202,768.8812710000202,769.8806956997141,769.8645457001403,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
19,0,19,19,0,19,0,769.8806956997141,,,,,,,,,,,,,769.8648907998577,769.8806956997141,770.880759799853,770.880759799853,771.8807565998286,771.8807565998286,772.8806031998247,772.8806031998247,773.8807731000707,773.8807731000707,774.8807431999594,774.8807431999594,775.8809094997123,775.8809094997123,776.8802982000634,776.8802982000634,777.8805772997439,777.8805772997439,778.8808543002233,778.8808543002233,779.8808533996344,779.8644786002114,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
20,0,20,20,0,20,0,779.8808533996344,,,,,,,,,,,,,779.8653167001903,779.8808533996344,780.8805275000632,780.8805275000632,781.8809291999787,781.8809291999787,782.880966199562,782.880966199562,783.8804586995393,783.8804586995393,784.8803632995114,784.8803632995114,785.8804276995361,785.8804276995361,786.8804721999913,786.8804721999913,787.8804487995803,787.8804487995803,788.8805037001148,788.8805037001148,789.8808186994866,789.8648471999913,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
21,0,21,21,0,21,0,789.8808186994866,,,,,,,,,,,,,789.8653996000066,789.8808186994866,790.8804420996457,790.8967106994241,791.880226300098,791.880226300098,792.880253999494,792.880253999494,793.8803220000118,793.8803220000118,794.8808747995645,794.8808747995645,795.8800304997712,795.8800304997712,796.879913199693,796.879913199693,797.8802330000326,797.8802330000326,798.8798979995772,798.8798979995772,799.8810558998957,799.8639553999528,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
22,0,22,22,0,22,0,799.8810558998957,,,,,,,,,,,,,799.8644186994061,799.8810558998957,800.8803725996986,800.8964641001076,801.8800269002095,801.8800269002095,802.8805577000603,802.8805577000603,803.8801990998909,803.8801990998909,804.8805280001834,804.8805280001834,805.8801718996838,805.8801718996838,806.8801307994872,806.8801307994872,807.8803605996072,807.8803605996072,808.8801049999893,808.8801049999893,809.8800429999828,809.8636876996607,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
23,0,23,23,0,23,0,809.8800429999828,,,,,,,,,,,,,809.8642256995663,809.8800429999828,810.8794895000756,810.8794895000756,811.8797645000741,811.8797645000741,812.8817905997857,812.8817905997857,813.8798517994583,813.8798517994583,814.8797939997166,814.8797939997166,815.8798644002527,815.8798644002527,816.8798047993332,816.8798047993332,817.8797728996724,817.8797728996724,818.8793123001233,818.8793123001233,819.8793754000217,819.8633086998016,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
24,0,24,24,0,24,0,819.8793754000217,,,,,,,,,,,,,819.8636726997793,819.8793754000217,820.8798043997958,820.8798043997958,821.8795921998098,821.8795921998098,822.8794905999675,822.8794905999675,823.8793671000749,823.8793671000749,824.8791910996661,824.8791910996661,825.8794289994985,825.8794289994985,826.8795421998948,826.8795421998948,827.8796927994117,827.8796927994117,828.8795075993985,828.8795075993985,829.8790219994262,829.8627747995779,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
25,0,25,25,0,25,0,829.8790219994262,,,,,,,,,,,,,829.8631477002054,829.8790219994262,830.8792407000437,830.8792407000437,831.8793069999665,831.8793069999665,832.8790776999667,832.8790776999667,833.8799676997587,833.8799676997587,834.8797367000952,834.8797367000952,835.879845299758,835.879845299758,836.8791515994817,836.8791515994817,837.8797949999571,837.8797949999571,838.8796531995758,838.8796531995758,839.8790902001783,839.8629947993904,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
26,0,26,26,0,26,0,839.8790902001783,,,,,,,,,,,,,839.8633293993771,839.8790902001783,840.8792775999755,840.8792775999755,841.879382699728,841.879382699728,842.8789609996602,842.8789609996602,843.8793342998251,843.8793342998251,844.879946699366,844.879946699366,845.8790590995923,845.8790590995923,846.8790315994993,846.8790315994993,847.8790336996317,847.8790336996317,848.8793692002073,848.8793692002073,849.8787562996149,849.8620357997715,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
27,0,27,27,0,27,0,849.8787562996149,,,,,,,,,,,,,849.8623604997993,849.8787562996149,850.8790008993819,850.8790008993819,851.8788799997419,851.8788799997419,852.8789889002219,852.8789889002219,853.8786610001698,853.8786610001698,854.8788712993264,854.8788712993264,855.8788327993825,855.8788327993825,856.8787008998916,856.8787008998916,857.879010300152,857.879010300152,858.8797340001911,858.8797340001911,859.8787423996255,859.8624481000006,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
28,0,28,28,0,28,0,859.8787423996255,,,,,,,,,,,,,859.8628279995173,859.8787423996255,860.8788203001022,860.8788203001022,861.8789491001517,861.8789491001517,862.8788428995758,862.8788428995758,863.8791023995727,863.8791023995727,864.8786912001669,864.8786912001669,865.8782522995025,865.8782522995025,866.8782999999821,866.8782999999821,867.8791364999488,867.8791364999488,868.8784556994215,868.8784556994215,869.8781140996143,869.8619935000315,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
29,0,29,29,0,29,0,869.8781140996143,,,,,,,,,,,,,869.8623394994065,869.8781140996143,870.8785838000476,870.8785838000476,871.8785251993686,871.8785251993686,872.8786966996267,872.8786966996267,873.8784769997001,873.8784769997001,874.8785243993625,874.8785243993625,875.8782425001264,875.8782425001264,876.8784289993346,876.8784289993346,877.8783451002091,877.8783451002091,878.8785700993612,878.8785700993612,879.8781835995615,879.8625908000395,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
30,0,30,30,0,30,0,879.8781835995615,,,,,,,,,,,,,879.8633853998035,879.8781835995615,880.8782077999786,880.8782077999786,881.8781944001094,881.8781944001094,882.8780592000112,882.8780592000112,883.8781782994047,883.8781782994047,884.8781586997211,884.8781586997211,885.8779469002038,885.8779469002038,886.8780600000173,886.8780600000173,887.8780044000596,887.8780044000596,888.8784468993545,888.8784468993545,889.8779636994004,889.8626533001661,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
31,0,31,31,0,31,0,889.8779636994004,,,,,,,,,,,,,889.8630943000317,889.8779636994004,890.878073499538,890.878073499538,891.8779106996953,891.8779106996953,892.8781833993271,892.8781833993271,893.8779085995629,893.8779085995629,894.8778058998287,894.8778058998287,895.8775789001957,895.8775789001957,896.8778536999598,896.8778536999598,897.878801099956,897.878801099956,898.8780419994146,898.8780419994146,899.8777116993442,899.8616969995201,034455,001,2025-04-24_16h12.45.920,fixation_dots_T1weighted,2024.2.1,60.44483798954373,2025-04-24 16h13.04.950023 +0200,
