9.2374 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99C40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99BE0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99A30>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023A65E6B190>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.2375 	EXP 	window1: backgroundImage = ''
9.2375 	EXP 	window1: backgroundFit = 'none'
9.2377 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99D60>
9.2378 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99D60>
9.2391 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99D60>
9.2395 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99D60>
9.2674 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99D60>
9.2675 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99D60>
9.2679 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99D60>
9.2683 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023A65D99D60>
9.2869 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.2869 	EXP 	window1: recordFrameIntervals = False
9.4513 	EXP 	window1: recordFrameIntervals = True
9.6332 	EXP 	Screen (0) actual frame rate measured at 59.26Hz
9.6332 	EXP 	window1: recordFrameIntervals = False
9.6333 	EXP 	window1: mouseVisible = True
9.6356 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
11.2940 	EXP 	fixation_dots_T1weighted: status = STARTED
11.2943 	EXP 	window1: mouseVisible = True
