15.1631 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BAC0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BA60>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67B8B0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026B1D738FD0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.1632 	EXP 	window1: backgroundImage = ''
15.1632 	EXP 	window1: backgroundFit = 'none'
15.1634 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BBE0>
15.1635 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BBE0>
15.1669 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BBE0>
15.1674 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BBE0>
15.2144 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BBE0>
15.2145 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BBE0>
15.2150 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BBE0>
15.2154 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026B1D67BBE0>
15.2411 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.2411 	EXP 	window1: recordFrameIntervals = False
15.4115 	EXP 	window1: recordFrameIntervals = True
15.5947 	EXP 	Screen (0) actual frame rate measured at 59.91Hz
15.5948 	EXP 	window1: recordFrameIntervals = False
15.5950 	EXP 	window1: mouseVisible = True
15.6134 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
19.6112 	EXP 	fixation_dots_T1weighted: status = STARTED
19.6115 	EXP 	window1: mouseVisible = True
