thisN,thisTrialN,thisRepN,T1w_LIBRE.thisRepN,T1w_LIBRE.thisTrialN,T1w_LIBRE.thisN,T1w_LIBRE.thisIndex,thisRow.t,notes,trail.started,waiting_trigger.started,key_resp.started,fix_desc.started,trail.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_ET.started,etRecord.started,start_ET.stopped,dots.started,dot_1.started,dot_1.stopped,dot_2.started,dot_2.stopped,dot_3.started,dot_3.stopped,dot_4.started,dot_4.stopped,dot_5.started,dot_5.stopped,dot_6.started,dot_6.stopped,dot_7.started,dot_7.stopped,dot_8.started,dot_8.stopped,dot_9.started,dot_9.stopped,dot_10.started,dot_10.stopped,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
,,,,,,,,,8.63578120060265,8.905264100059867,8.905264100059867,8.905264100059867,19.60577110014856,s,10.691450900398195,None,,,,,,,,,,,,,,,,,,,,,,,,,,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
,,,,,,,,,,,,,,,,,19.606130400672555,19.61588090006262,19.607301800511777,,,,,,,,,,,,,,,,,,,,,,,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
0,0,0,0,0,0,0,19.61588090006262,,,,,,,,,,,,,19.609969000332057,19.61588090006262,20.61582180019468,20.61582180019468,21.615902700461447,21.615902700461447,22.61617169994861,22.61617169994861,23.615826699882746,23.615826699882746,24.61576530057937,24.61576530057937,25.615752700716257,25.615752700716257,26.616158000193536,26.616158000193536,27.615663100034,27.615663100034,28.615889000706375,28.615889000706375,29.616007899865508,29.600434300489724,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
1,0,1,1,0,1,0,29.616007899865508,,,,,,,,,,,,,29.601253700442612,29.616007899865508,30.615894500166178,30.615894500166178,31.615864700637758,31.615864700637758,32.61599799990654,32.61599799990654,33.616189000196755,33.616189000196755,34.61608219984919,34.61608219984919,35.61572809983045,35.61572809983045,36.61574660055339,36.61574660055339,37.61600570008159,37.61600570008159,38.61570760048926,38.61570760048926,39.61598919983953,39.60069470014423,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
2,0,2,2,0,2,0,39.61598919983953,,,,,,,,,,,,,39.601522699929774,39.61598919983953,40.61597810033709,40.61597810033709,41.616402899846435,41.616402899846435,42.616111599840224,42.616111599840224,43.6159372003749,43.6159372003749,44.615681500174105,44.615681500174105,45.616006100550294,45.616006100550294,46.61581640038639,46.61581640038639,47.61576450057328,47.61576450057328,48.615821899846196,48.615821899846196,49.61589890066534,49.60183170065284,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
3,0,3,3,0,3,0,49.61589890066534,,,,,,,,,,,,,49.60369350016117,49.61589890066534,50.61581590026617,50.61581590026617,51.616177500225604,51.616177500225604,52.61567630060017,52.61567630060017,53.61600309982896,53.61600309982896,54.61582950036973,54.61582950036973,55.615879700519145,55.615879700519145,56.61617880035192,56.61617880035192,57.615840500220656,57.615840500220656,58.61597570031881,58.61597570031881,59.6159811001271,59.600580300204456,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
4,0,4,4,0,4,0,59.6159811001271,,,,,,,,,,,,,59.60176380071789,59.6159811001271,60.615922200493515,60.615922200493515,61.61592860054225,61.61592860054225,62.616170399822295,62.616170399822295,63.61577150039375,63.61577150039375,64.6159000005573,64.6159000005573,65.6161361001432,65.6161361001432,66.61612250003964,66.61612250003964,67.61568849999458,67.61568849999458,68.61643890012056,68.61643890012056,69.61599500011653,69.60052700061351,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
5,0,5,5,0,5,0,69.61599500011653,,,,,,,,,,,,,69.60188640002161,69.61599500011653,70.61589440051466,70.61589440051466,71.61627720016986,71.61627720016986,72.61566860042512,72.61566860042512,73.61621200013906,73.61621200013906,74.6158632999286,74.6158632999286,75.61563220061362,75.61563220061362,76.61580340005457,76.61580340005457,77.61587690003216,77.61587690003216,78.61586439982057,78.61586439982057,79.61564090009779,79.59935120027512,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
6,0,6,6,0,6,0,79.61564090009779,,,,,,,,,,,,,79.59971950016916,79.61564090009779,80.61615590006113,80.61615590006113,81.61591480020434,81.61591480020434,82.61592529993504,82.61592529993504,83.61596360057592,83.61596360057592,84.61606440041214,84.61606440041214,85.61570170056075,85.61570170056075,86.61581700015813,86.61581700015813,87.61618630029261,87.61618630029261,88.61565200053155,88.61565200053155,89.61602309998125,89.6003498006612,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
7,0,7,7,0,7,0,89.61602309998125,,,,,,,,,,,,,89.60111340042204,89.61602309998125,90.61555590014905,90.61555590014905,91.61587900016457,91.61587900016457,92.61586009990424,92.61586009990424,93.61584790050983,93.61584790050983,94.61562199983746,94.61562199983746,95.61607149988413,95.61607149988413,96.61570920050144,96.61570920050144,97.61579660046846,97.61579660046846,98.61588190030307,98.61588190030307,99.61603379994631,99.60039599984884,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
